"person_id","birth","birth.lat","birth.long","birth.country","birth.state","res","res.lat","res.long","res.country","res.state"
1857,"Tokyo, Japan",35.6768601,139.7638947,"Japan",NA,"Tokyo, Japan",35.6768601,139.7638947,"Japan",NA
1858,"Chorvila, Georgia",42.2829805,43.4126963,"Georgia",NA,"Tbilisi, Georgia",41.6934591,44.8014495,"Georgia",NA
1860,"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Canada",NA,"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Canada",NA
1861,"San Francisco, California, United States",37.7792588,-122.4193286,"United States","California","Geyserville, California, United States",38.707687,-122.902496,"United States","California"
1862,"Wellington, New Zealand",-41.2887953,174.7772114,"New Zealand",NA,"Wellington, New Zealand",-41.2887953,174.7772114,"New Zealand",NA
1863,"Buffalo, New York, United States",42.8867166,-78.8783922,"United States","New York","East Aurora, New York, United States",42.7689141,-78.6177611,"United States","New York"
1865,"New Bedford, Massachusetts, United States",41.6362152,-70.934205,"United States","Massachusetts","La Jolla, California, United States",32.8458529,-117.2575702,"United States","California"
1866,"Providence, Rhode Island, United States",41.8239891,-71.4128343,"United States","Rhode Island","Greenwich, Connecticut, United States",41.0264862,-73.6284598,"United States","Connecticut"
1867,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","Locust Valley, New York, United States",40.8775225,-73.5723052,"United States","New York"
1869,"Kuwait City, Kuwait",29.3796532,47.9734174,"Kuwait",NA,"Dubai, United Arab Emirates",25.0742823,55.1885387,"United Arab Emirates",NA
1883,"Bellevue, Washington, United States",47.6144219,-122.192337,"United States","Washington","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1891,"Houston, Texas, United States",29.7589382,-95.3676974,"United States","Texas","Houston, Texas, United States",29.7589382,-95.3676974,"United States","Texas"
1893,"Wyandotte, Michigan, United States",42.200409,-83.1506436,"United States","Michigan","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1894,"Sandusky, Ohio, United States",41.2951563,-83.1555438,"United States","Ohio","St. Petersburg, Florida, United States",27.7700475,-82.6359078,"United States","Florida"
1895,"Akron, Ohio, United States",41.083064,-81.518485,"United States","Ohio","Los Angeles, California, United States",34.0536909,-118.242766,"United States","California"
1896,"Los Angeles, California, United States",34.0536909,-118.242766,"United States","California","San Juan Islands, Washington, United States",48.537089,-123.0907204,"United States","Washington"
1897,"Berlin, Germany",52.5173885,13.3951309,"Germany",NA,"Montreal, Quebec, Canada",45.5031824,-73.5698065,"Canada",NA
1898,"Iloilo City, Philippines",10.6932884,122.5732604,"Philippines",NA,"Manila, Philippines",14.5904492,120.9803621,"Philippines",NA
1902,"Lakeland, Florida, United States",28.0394654,-81.9498042,"United States","Florida","Tampa, Florida, United States",27.9477595,-82.458444,"United States","Florida"
1903,"Lakeland, Florida, United States",28.0394654,-81.9498042,"United States","Florida","Lakeland, Florida, United States",28.0394654,-81.9498042,"United States","Florida"
1904,"Los Angeles, California, United States",34.0536909,-118.242766,"United States","California","Hidden Hills, California, United States",34.164091,-118.657837,"United States","California"
1907,"Hyderabad, Telangana, India",17.360589,78.4740613,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1909,"Dangtu County, Anhui, China",31.4644184,118.6400257,"China",NA,"Nanjing, Jiangsu, China",32.0438284,118.7788631,"China",NA
1910,"Shantou, Guangdong, China",23.3563921,116.6775856,"China",NA,"Hong Kong, China",22.2793278,114.1628131,"China",NA
1911,"Zhongning County, Zhongwei City, Ningxia, China",37.3457259,105.6424745,"China",NA,"Yinchuan, China",38.4852037,106.2261926,"China",NA
